Standard Number,Standard Name,YEAR,PUBLISHER,Price,Description,Currency,Image_URL,Updated_At,Discount,Visible
DIN EN 2516:2024-03,Aerospace series - Passivation of corrosion resisting steels and decontamination of nickel or cobalt base alloys; German and English version EN 2516:2023,2024-03,DIN,108.32,Aerospace transport*Air transport*Chemicals*Classification*Classification systems*Cleaning*Cobalt*Cobalt alloys*Contamination*Corrosion resistance*Corrosion-resistant steels*Decontamination*Decontaminations*Degreasing*Designations*Electropolishing*Impurities*Inspection*Materials*Nickel alloys*Passivation*Picklings*Preconditioning*Properties*Quality assurance*Space transport*Specification (approval)*Steels*Steps*Surface protection*Surface treatment*Testing*Treatment,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2559:2024-09,"Aerospace series - Carbon, glass and aramid fibre preimpregnates - Determination of the resin and fibre content and the mass of fibre per unit area; German and English version EN 2559:2022 + A1:2024",2024-09,DIN,108.32,Aerospace transport*Air transport*Aramide*Aramide fibres*Carbon fibres*Determination*Extenders*Fibres*Glass fibre fraction*Glass fibres*Mass*Mass concentration*Materials*Methods*Plastics*Preimpregnation*Prepreg*Reinforced materials*Resin fraction*Resins*Sampling methods*Space transport*Specification (approval)*Substance*Test reports*Test specimens*Testing*Unidirectional sheet,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2588:2024-12,"Aerospace series - Bearing, spherical plain in corrosion resisting steel with assembly slots - Dimensions and loads; German and English version EN 2588:2024",2024-12,DIN,89.72,Aerospace transport*Air transport*Airframe bearings*Airframes*Assembly slots*Bearings*Corrosion-resistant steels*Design*Dimensional tolerances*Dimensions*Knuckle bearings*Load measurement*Loading*Marking*Materials*Rolling bearings*Space transport*Specification (approval)*Steels*Supplements*Tolerances (measurement),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2591-100:2024-12,Aerospace series - Elements of electrical and optical connection - Test methods - Part 100: General; German and English version EN 2591-100:2024,2024-12,DIN,149.81,Aerospace transport*Air transport*Aircraft components*Data communication*Data transfer*Definitions*Electric connectors*Electric plugs*Electrical*Electrical components*Electrical installations*Fasteners*General section*Optical*Optical elements*Optical fibres*Properties*Space transport*Specification (approval)*Testing*Testing conditions,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2591-403:2025-09,Aerospace series - Elements of electrical and optical connection - Test methods - Part 403: Sinusoidal and random vibration; German and English version EN 2591-403:2025,2025-09,DIN,98.69,Aerospace transport*Air transport*Aircraft components*Connectored joints*Degree of sharpness*Electric connectors*Electrical components*Electrical installations*Electrically-operated devices*Fasteners*Fatigue strength under vibratory stresses*Noise (spurious signals)*Optical elements*Optical waveguides*Resistance*Sinuscoidal vibrations*Space transport*Testing*Vibration*Vibration tests*Wide band noise,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2665-001:2024-03,"Aerospace series - Circuit breakers, three-pole, temperature compensated, rated currents 20 A to 50 A - Part 001: Technical specification; German and English version EN 2665-001:2023",2024-03,DIN,125.79,Acceptance specification*Aerospace transport*Air transport*Aircraft components*Circuit-breakers*Connections*Currents*Delivery conditions*Designations*Dimensions*Electrical engineering*Electrical properties and phenomena*Electrical protection equipment*Electrical systems*Environmental condition*Explosion-proof*Marking*Mechanical properties*Properties*Pull operation*Push operation*Pushbuttons*Rated current*Space transport*Specification (approval)*Switches*Switchgear*Temperature*Temperature-compensated*Three-pole*Tri-pole circuit-breakers*Weights,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2714-013:2025-11,"Aerospace series - Cables, electrical, single and multicore for general purpose - Operating temperatures between ?55 �C and 260 �C - Part 013: DR family, screened (spiral) and jacketed, UV laser printable - Product standard; German and English version EN 2714-013:2025",2025-11,DIN,98.69,Aerospace transport*Air transport*Aircraft*Braided*Cables*Casing*Conduits*Electric cables*Electric conductors*Electrical*Electrical cords*Laser printers*Lasers*Lists*Materials*Multi-wire*Operating temperatures*Printing*Product standards*Properties*Shell*Shielded*Single wire*Space transport*Temperature*Testing*UV,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2714-014:2025-07,"Aerospace series - Cables, electrical, single and multicore for general purpose - Operating temperatures between -55 �C and 260 �C - Part 014: DR family, 1 to 11 cores, taped, screened (braided) and jacketed, UV laser printable - Product standard; German and English version EN 2714-014:2024",2025-07,DIN,108.32,Aerospace transport*Air transport*Aircraft*Braided*Cables*Casing*Cords*Electric cables*Electric conductors*Electrical*Electrical cords*Lists*Materials*Multi-wire*Operating temperatures*Printing*Product standards*Properties*Shielded*Single wire*Single-core cables*Space transport*Temperature*Testing*Ultraviolet*UV,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2794-001:2024-04,"Aerospace series - Circuit breakers, single-pole, temperature compensated, rated currents 20 A to 50 A - Part 001: Technical specification; German and English version EN 2794-001:2023",2024-04,DIN,125.79,Aerospace transport*Air transport*Aircraft components*Circuit-breakers*Connections*Currents*Delivery conditions*Designations*Dimensions*Electrical engineering*Electrical properties and phenomena*Electrical protection equipment*Electrical systems*Environmental condition*Explosion-proof*Marking*Mass*Mechanical properties*Properties*Pull operation*Push operation*Pushbuttons*Rated current*Single-pole*Space transport*Specification (approval)*Switches*Switchgear*Temperature*Temperature-compensated*Weights,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2821:2024-10,Aerospace series - Steel X5CrNiCu15-5 (1.4545) - Consumable electrode remelted - Solution treated and precipitation treated - Bars for machining - a or D <kleiner => 200 mm - R&lt;(Index)m&gt; <gr��er => 1310 MPa; German and English version EN 2821:2024,2024-10,DIN,80.84,Aerospace transport*Air transport*Bars (materials)*Chemical composition*Delivery conditions*Dimensions*Electrodes*Heat treatment*Material-removal processes*Materials*Poles*Precipitation treated*Remelted*Solution treated*Space transport*Specification (approval)*Steels*Type of melting,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2876:2024-03,"Aerospace series - Nuts, hexagon, plain, reduced height, normal across flats, in aluminium alloy, anodized - Classification: 450 MPa (at ambient temperature)/120 �C; German and English version EN 2876:2023",2024-03,DIN,89.72,Aerospace transport*Air transport*Aluminium alloys*Ambient temperatures*Anodised*Characteristics*Classes*Designations*Hexagon nuts*Marking*Properties*Shallow*Space transport*Specification (approval)*Specifications*Width across flats,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2882:2024-03,"Aerospace series - Nut, hexagonal, self-locking, with counterbore and captive washer, in steel, cadmium plated, MoS&lt;(Index)2&gt; lubricated - Classification: 1100 MPa (at ambient temperature)/235 �C; German and English version EN 2882:2023",2024-03,DIN,80.84,Aerospace transport*Air transport*Cadmium plated*Captive washers*Counterbores*Designations*Flanging*Hexagon*Hexagon nuts*Hexagonal-head fasteners*Nuts*Properties*Sag (deformation)*Self-locking*Space transport*Steels*Surface treatment*Threads*Tolerances (measurement),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2884:2024-09,"Aerospace series - Screws, pan head, offset cruciform recess, coarse tolerance normal shank, short thread, in titanium alloy, anodized, MoS2 lubricated - Classification: 1 100 MPa (at ambient temperature)/315 �C; German and English version EN 2884:2024",2024-09,DIN,89.72,Aerospace transport*Air transport*Aircraft*Aircraft components*Alloys*Anodised*Cheese head screws*Classification systems*Cruciform-head fasteners*Designations*Dimensional tolerances*Dimensions*Lubrication*Marking*Molybdenum disulphides*Pan head screws*Pan-head fasteners*Properties*Recesses*Screws (bolts)*Shaft tolerance*Space transport*Specification (approval)*Surface treatment*Temperature*Tensile strength*Threads*Titanium*Titanium alloys*Tolerances (measurement)*Torq-set recesses,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2939:2024-09,"Aerospace series - Screw, 100� countersunk head, offset cruciform recess, threaded to head, in heat resisting steel FE-PA92HT (A286) - Classification: 900 MPa (at ambient temperature)/650 �C; German and English version EN 2939:2024",2024-09,DIN,80.84,Aerospace transport*Air transport*Classification systems*Codes*Countersunk fasteners*Countersunk head screws*Cross recessed screws*Designations*Dimensions*Fasteners*Heat-resistant*Heat-resistant materials*High temperature*Marking*Properties*Recessed head screws*Screws (bolts)*Space transport*Steels*Threads*Torq-Set*Torq-set recesses,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2943:2024-09,"Aerospace series - Insert, MJ and M screw threads, helical coil - Technical specification; German and English version EN 2943:2024",2024-09,DIN,134.95,Acceptance specification*Acceptance tests*Aerospace transport*Air transport*Aircraft*Alloys*Definitions*Delivery conditions*Design*Dimensions*Fasteners*Finishes*Heat-resistant materials*Helical coil threads*High temperature*Internal threads*Materials*Mechanically-operated devices*MJ-threads*Properties*Qualifications*Quality assurance*Screwed joints*Self-locking*Space transport*Specification*Specification (approval)*Surface treatment*Testing*Thread inserts*Threaded components*Threads*Tolerances (measurement)*Wires,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2955:2025-05,Aerospace series - Recycling of titanium and titanium alloy scrap; German and English version EN 2955:2025,2025-05,DIN,108.32,Aerospace transport*Air transport*Classification*Definitions*Ingots*Manufacturing*Metal scrap*Preparation*Process charts*Production*Recycling*Reprocessing*Sequence of operations*Space transport*Specification (approval)*Titanium*Titanium alloys*Titanium scrap,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2995-001:2024-10,"Aerospace series - Circuit breakers, single-pole, temperature compensated, rated currents 1 A to 25 A - Part 001: Technical specification; German and English version EN 2995-001:2023",2024-10,DIN,125.79,Acceptance specification*Aerospace transport*Air transport*Aircraft components*Circuit-breakers*Delivery conditions*Design*Designations*Electrical engineering*Electrical protection equipment*Electrical systems*Marking*Rated current*Single-pole*Space transport*Specification (approval)*Switchgear*Temperature-compensated*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2995-006:2024-04,"Aerospace series - Circuit breakers, single-pole, temperature compensated, rated currents 1 A to 25 A - Part 006:6,3 mm &amp; 2,8 mm blade terminal with polarized signal contact - Product standard; German and English version EN 2995-006:2023",2024-04,DIN,108.32,Aerospace transport*Air transport*Aircraft components*Circuit-breakers*Delivery conditions*Design*Dimensions*Electrical engineering*Electrical protection equipment*Electrical systems*Flat plugs*Marking*Polarized*Product standards*Rated current*Signal contacts*Single-pole*Snap-on connections*Space transport*Switchgear*Temperature-compensated,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2996-001:2024-04,"Aerospace series - Circuit breakers, three-pole, temperature compensated, rated currents 1 A to 25 A - Part 001: Technical specification; German and English version EN 2996-001:2023",2024-04,DIN,125.79,Acceptance specification*Aerospace transport*Air transport*Circuit-breakers*Delivery conditions*Design*Electrical engineering*Marking*Rated current*Space transport*Specification (approval)*Switches*Switchgear*Temperature-compensated*Testing*Testing conditions*Three-pole*Tri-pole circuit-breakers,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2996-004:2025-10,"Aerospace series - Circuit breakers, three-pole, temperature compensated, rated currents 1 A to 25 A - Part 004: With signal contact - Product standard; German and English version EN 2996-004:2025",2025-10,DIN,98.69,Aerospace transport*Air transport*Aircraft components*Circuit-breakers*Contact*Designations*Electrical engineering*Electrical protection equipment*Electrical systems*Marking*Product standards*Pushbuttons*Rated current*Release mechanisms*Releasing devices*Signal contacts*Space transport*Switchgear*Temperature-compensated*Testing*Thread fasteners*Three-pole,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2996-005:2025-10,"Aerospace series - Circuit breakers, three-pole, temperature compensated, rated currents 1 A to 25 A - Part 005: With polarized signal contact - Product standard; German and English version EN 2996-005:2025",2025-10,DIN,98.69,Aerospace transport*Air transport*Aircraft components*Circuit-breakers*Contact*Designations*Electrical engineering*Electrical protection equipment*Electrical systems*Marking*Product standards*Pushbuttons*Rated current*Release mechanisms*Releasing devices*Signal contacts*Space transport*Switchgear*Temperature-compensated*Testing*Thread fasteners*Three-pole,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2996-006:2024-04,"Aerospace series - Circuit breakers, three-poles, temperature compensated, rated currents 1 A to 25 A - Part 006:6,3 mm and 2,8 mm blade terminal - With polarized signal contact - Product standard; German and English version EN 2996-006:2023",2024-04,DIN,108.32,Aerospace transport*Air transport*Characteristics*Circuit-breakers*Connectored joints*Design*Dimensions*Electric plugs*Electrical engineering*Electrical properties*Environmental effect*Marking*Mechanical properties*Polarized*Product standards*Rated current*Signal contacts*Snap-on connections*Space transport*Specification (approval)*Switches*Switchgear*Temperature-compensated*Three-pole,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2997-004:2024-06,"Aerospace series - Connectors, electrical, circular, coupled by threaded ring, fire-resistant or non fire-resistant, operating temperatures -65 �C to 175 �C continuous, 200 �C continuous, 260 �C peak - Part 004: Jam-nut mounted receptacle - Product standard; German and English version EN 2997-004:2024",2024-06,DIN,89.72,Aerospace transport*Air transport*Circular connectors*Connecting devices*Electric connectors*Electric plugs*Electrical engineering*Fire-resistant*Marking*Nuts*Product standards*Properties*Screw couplings*Space transport*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2997-006:2024-06,"Aerospace series - Connectors, electrical, circular, coupled by threaded ring, fire resistant or non fire-resistant, operating temperatures -65 �C to 175 �C continuous, 200 �C continuous, 260 �C peak - Part 006: Hermetic jam-nut mounted receptacle - Product standard; German and English version EN 2997-006:2024",2024-06,DIN,89.72,Aerospace transport*Air transport*Circular connectors*Connecting devices*Dimensions*Electric connectors*Electric plugs*Electrical engineering*Fire-resistant*Hermetically*Marking*Nuts*Operating temperatures*Product standards*Properties*Screw couplings*Space transport*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2997-012:2024-09,"Aerospace series - Connectors, electrical, circular, coupled by threaded ring, fire-resistant or non-fire-resistant, operating temperatures -65 �C to 175 �C continuous, 200 �C continuous, 260 �C peak - Part 012: Jam-nut for jam-nut receptacles - Product standard; German and English version EN 2997-012:2024",2024-09,DIN,71.68,Aerospace transport*Air transport*Circular connectors*Connecting devices*Electric connectors*Electric plugs*Electrical engineering*Erecting (construction operation)*Fire-resistant*Hexagon nuts*Marking*Nuts*Operating temperatures*Product standards*Properties*Screw couplings*Space transport*Specification (approval),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 2997-014:2026-05,"Aerospace series - Connectors, electrical, circular, coupled by threaded ring, fire-resistant or non fire-resistant, operating temperatures -65 �C to 175 �C continuous, 200 �C continuous, 260 �C peak - Part 014: Square flange receptacle with integrated accessory - Product standard; German and English version EN 2997-014:2026",2026-05,DIN,80.84,Aerospace transport*Air transport*Characteristics*Circular connectors*Designations*Dimensions*Electric plugs*Electrical engineering*Fire-resistant*Marking*Mounting flanges*Mounting instructions*Product standards*Screw couplings*Space transport*Specification (approval)*Square shape*Terminal casings,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3014:2026-02,"Aerospace series - Shank nut, self-locking, serrated, in heat resisting steel FE-PA2601 (A286) - Classification: 1 100 MPa (at ambient temperature)/650 �C; German and English version EN 3014:2025",2026-02,DIN,71.68,Aerospace transport*Air transport*Checks*Clinch nuts*Designations*Dimensions*Engine components*Fasteners*Finishes*High temperature*Locating face*Marking*Materials*Mounting*Nuts*Properties*Quality assurance*Self-locking*Space transport*Specification (approval)*Steels*Surveillance (approval)*Teeth of gears*Tensile strength*Threads*Tools,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3043:2026-02,"Aerospace series - Fasteners, externally threaded, in heat resisting steel FE-PA92HT (A286) - Classification: 900 MPa/650 �C, manufacturing method optional - Technical specification; German and English version EN 3043:2025",2026-02,DIN,116.82,Aerospace transport*Air transport*Certification*Definitions*Delivery conditions*External threads*External-thread fasteners*Fasteners*High temperature*Manufacturing process*Quality assurance*Space transport*Specification (approval)*Steels*Tensile strength*Testing*Verification,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3049:2026-02,"Aerospace series - O-rings, in fluorocarbon rubber (FKM), low compression set - Hardness 80 IRHD; German and English version EN 3049:2025",2026-02,DIN,89.72,Aerospace transport*Air transport*Compression set*Designations*Diameter*Dimensions*Elastomers*Fluorinated elastomer*Hardness*Marking*Materials*Operating conditions*O-rings*Properties*Rings*Rubber*Seals*Space transport*Specification (approval)*Strain*Surface discontinuities*Temperature*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3050:2026-02,"Aerospace series - O-rings, in fluorocarbon rubber (FKM), low compression set - Technical specification; German and English version EN 3050:2025",2026-02,DIN,89.72,Acceptance inspection*Aerospace transport*Air transport*Certification*Compression set*Definitions*Delivery conditions*Designations*Dimensions*Elastomers*Fluorinated elastomer*Hardness*Marking*Materials*O-rings*Packages*Properties*Qualification testing*Qualifications*Rings*Rubber*Seals*Space transport*Specification (approval)*Storage*Strain*Testing,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3155-001:2025-10,Aerospace series - Electrical contacts used in elements of connection - Part 001: Technical specification; German and English version EN 3155-001:2025,2025-10,DIN,185.98,Aerospace transport*Air transport*Aircraft*Contact*Contact connection*Contact inserts*Crimp contacts*Crimp-connections*Definitions*Delivery conditions*Design*Designations*Dimensions*Electric cables*Electric connectors*Electric contacts*Electrical*Electrical equipment*Electrical installations*Equipment*Fasteners*Lists*Quality assurance*Soldered joints*Space transport*Testing*Use*Visual inspection (testing),,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3155-002:2024-11,Aerospace series - Electrical contacts used in elements of connection - Part 002: List and utilization of contacts; German and English version EN 3155-002:2024,2024-11,DIN,89.72,Aerospace transport*Air transport*Contact*Contact connection*Contact inserts*Crimp contacts*Crimp-connections*Design*Designations*Electric cables*Electric contacts*Electrical installations*Fasteners*Lists*Soldered joints*Space transport*Use,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3155-003:2026-06,"Aerospace series - Electrical contacts used in elements of connection - Part 003: Contacts, electrical, female 003, type A, crimp, class S - Product standard; German and English version EN 3155-003:2026",2026-06,DIN,125.79,Aerospace transport*Air transport*Applications*Bushes (mechanical components)*Characteristics*Connecting pieces*Connection components*Connections*Connectored joints*Contact*Contact connection*Contact inserts*Crimp contacts*Crimp-connections*Crimping tools*Designations*Dimensions*Electric cables*Electric connectors*Electric contacts*Electrical*Electrical components*Electrical equipment*Electrical installations*Fasteners*Female connectors*Female contacts*Marking*Materials*Product standards*Quality assurance*Requirements*Space transport*Specification*Specification (approval)*Surface protection*Testing*Tools*Types*Use,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3155-004:2025-11,"Aerospace series - Electrical contacts used in elements of connection - Part 004: Contacts, electrical, male, type A, crimp, class T - Product standard; German and English version EN 3155-004:2025",2025-11,DIN,116.82,Aerospace transport*Air transport*Connectored joints*Contact*Contact connection*Contact inserts*Crimp contacts*Crimping tools*Designations*Dimensions*Electric cables*Electric contacts*Electrical installations*Fasteners*Female contacts*Male connectors*Materials*Pin contacts*Product standards*Space transport*Specification (approval)*Surface protection*Testing*Types*Use,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3155-005:2025-11,"Aerospace series - Electrical contacts used in elements of connection - Part 005: Contacts, electrical, female, type A, crimp, class T - Product standard; German and English version EN 3155-005:2025",2025-11,DIN,125.79,Aerospace transport*Air transport*Connectored joints*Contact*Contact connection*Contact inserts*Crimp contacts*Crimping tools*Designations*Dimensions*Electric cables*Electric contacts*Electrical installations*Fasteners*Female contacts*Materials*Product standards*Space transport*Specification (approval)*Surface protection*Testing*Types*Use,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3155-008:2026-06,"Aerospace series - Electrical contacts used in elements of connection - Part 008: Contacts, electrical, male 008, type A, crimp, class S - Product standard; German and English version EN 3155-008:2026",2026-06,DIN,125.79,Aerospace transport*Air transport*Connectored joints*Contact*Contact connection*Contact inserts*Crimp contacts*Crimping tools*Designations*Dimensions*Electric cables*Electric contacts*Electrical installations*Fasteners*Female contacts*Materials*Pin contacts*Product standards*Space transport*Specification (approval)*Surface protection*Testing*Types*Use,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3155-009:2025-06,"Aerospace series - Electrical contacts used in elements of connection - Part 009: Contacts, electrical, female 009, type A, crimp, class S - Product standard; German and English version EN 3155-009:2025",2025-06,DIN,125.79,Aerospace transport*Air transport*Connectored joints*Contact*Contact connection*Contact inserts*Crimp contacts*Crimping tools*Designations*Dimensions*Electric cables*Electric contacts*Electrical installations*Fasteners*Female contacts*Materials*Product standards*Space transport*Specification (approval)*Surface protection*Testing*Types,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3155-016:2025-11,"Aerospace series - Electrical contacts used in elements of connection - Part 016: Contacts, electrical, male, type A, crimp, class S - Product standard; German and English version EN 3155-016:2025",2025-11,DIN,116.82,Aerospace transport*Air transport*Connectored joints*Contact*Contact connection*Contact inserts*Crimp contacts*Crimping tools*Designations*Dimensions*Electric cables*Electric contacts*Electrical installations*Fasteners*Female contacts*Male connectors*Materials*Pin contacts*Product standards*Space transport*Specification (approval)*Surface protection*Testing*Types*Use,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3160:2026-07,Aerospace series - Steel X5CrNiCu17-4 (1.4542) - Air melted - Solution treated and precipitation treated - Bars - a or D <kleiner => 200 mm - R&lt;(Index)m&gt; <gr��er => 1 310 MPa; German and English version EN 3160:2026,2026-07,DIN,80.84,Aerospace transport*Air transport*Bars (materials)*Chemical composition*Delivery conditions*Dimensions*Hardness*Heat treatment*Materials*Poles*Precipitation treated*Solution treated*Space transport*Specification (approval)*Steels*Type of melting,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3161:2026-07,Aerospace series - Steel X5CrNiCu17-4 (1.4542) - Air melted - Solution treated and precipitation treated - Bars - a or D <kleiner => 200 mm - R&lt;(Index)m&gt; <gr��er => 930 MPa; German and English version EN 3161:2026,2026-07,DIN,80.84,Aerospace transport*Air transport*Bars (materials)*Chemical composition*Delivery conditions*Dimensions*Electrodes*Hardness*Heat treatment*Materials*Materials data*Microstructure*Poles*Precipitation treated*Properties*Solution treated*Space transport*Specification (approval)*Steels*Type of melting,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3162:2026-02,Aerospace series - Steel X5CrNiCu17-4 (1.4542) - Air melted - Solution treated and precipitation treated - Sheets and strips - a <kleiner => 6 mm - R&lt;(Index)m&gt; <gr��er => 930 MPa; German and English version EN 3162:2025,2026-02,DIN,80.84,Aerospace transport*Air transport*Chemical composition*Delivery conditions*Dimensions*Electrodes*Hardness*Heat treatment*Materials*Materials data*Poles*Precipitation treated*Properties*Sheet materials*Sheet steels*Solution treated*Space transport*Specification (approval)*Steel strips*Steels*Strips,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3163:2026-02,Aerospace series - Steel X5CrNiCu17-4 (1.4542) - Air melted - Softened - Forging stock - a or D <kleiner => 300 mm; German and English version EN 3163:2025,2026-02,DIN,80.84,Aerospace transport*Air transport*Annealed*Chemical composition*Composition*Delivery conditions*Dimensions*Electrodes*Forging stocks*Hardness*Heat treatment*Materials*Materials data*Properties*Space transport*Specification (approval)*Steels*Type of melting,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3278:2026-05,"Aerospace series - Sleeves, tubular, protruding head, in corrosion resisting steel, passivated (0,25 mm wall thickness); German and English version EN 3278:2026",2026-05,DIN,71.68,Aerospace transport*Air transport*Corrosion-resistant*Corrosion-resistant steels*Definitions*Designations*Dimensions*Fasteners*Finishes*Locking and locating devices*Marking*Passivated*Protruding*Sleeves*Space transport*Specification (approval)*Steels*Surface treatment*Tubular shape,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3311:2024-04,Aerospace series - Titanium alloy TI-P64001 (Ti-6Al-4V) - Annealed - Bars for machining - D <kleiner => 300 mm - 900 MPa <kleiner => R&lt;(Index)m&gt; <kleiner => 1160 MPa; German and English version EN 3311:2023,2024-04,DIN,80.84,Aerospace transport*Air transport*Annealed*Chemical composition*Chip removal*Machine*Materials*Metallic*Metallic materials*Metals*Poles*Properties*Semi-finished products*Space transport*Specification (approval)*Titanium*Titanium alloys,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3359:2025-11,Aerospace series - Steel X3CrNiMoAl13-8-2 (1.4534) - Vacuum induction melted and consumable electrode remelted - Softened - Forging stocks - a or D <kleiner => 300 mm; German and English version EN 3359:2025,2025-11,DIN,80.84,Aerospace transport*Air transport*Annealed*Chemical composition*Delivery conditions*Dimensions*Electrodes*Forging stocks*Hardness*Induction meltings*Materials*Microstructure*Remelted*Space transport*Specification (approval)*Steels*Type of melting,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3361:2024-11,Aerospace series - Steel X5CrNiCu15-5 (1.4545) - Consumable electrode remelted - Solution treated and precipitation treated - Sheets and strips - a <kleiner => 6 mm - 1 070 MPa <kleiner => R&lt;(Index)m&gt; <kleiner => 1 220 MPa; German and English version EN 3361:2024,2024-11,DIN,80.84,Aerospace transport*Air transport*Chemical composition*Delivery conditions*Dimensions*Electrodes*Hardened*Hardness*Heat treatment*Materials*Metallic materials*Precipitation treated*Remelted*Sheet materials*Sheet steels*Solution treated*Space transport*Specification (approval)*Steel strips*Steels*Strips*Type of melting,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3365:2025-11,Aerospace series - Steel X15CrNi17-3 (1.4057) - Air melted - Softened - Forging stock - a or D <kleiner => 300 mm; German and English version EN 3365:2025,2025-11,DIN,80.84,Aerospace transport*Air transport*Annealed*Chemical composition*Delivery conditions*Dimensions*Forging stocks*Hardness*Induction meltings*Materials*Metallic materials*Microstructure*Space transport*Specification (approval)*Steels*Type of melting,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
DIN EN 3375-008:2024-06,"Aerospace series - Cable, electrical, for digital data transmission - Part 008: Single braid - Star Quad 100 Ohms - Type KD - Product standard; German and English version EN 3375-008:2024",2024-06,DIN,108.32,Aerospace transport*Air transport*Aircraft*Aircraft components*Aircraft instruments*Cables*Check lists*Data transfer*Designations*Digital*Digital connections*Digital data*Dimensions*Duplex*Electric cables*Electric conductors*Electrical*Electrical cords*Electrical equipment*Ethernet*Limit deviations*Marking*Materials*Product standards*Quads*Shielded*Space transport*Specification (approval)*Testing*Testing conditions*Use,,/images/standards/din.webp,2026-09-04T07:21:21.468Z,0,TRUE
